complex	subunits	compartment	reactions	genes	coefficients	cofactors	notes
cplx_HETERODIMER_ATP1_A3B1	protein_ATP1A3;protein_ATP1B1	pm	NaKt	ATP1A3;ATP1B1	1;1
cplx_HETERODIMER_ATP1_A3B2	protein_ATP1A3;protein_ATP1B2	pm	NaKt	ATP1A3;ATP1B2	1;1
cplx_HETERODIMER_ATP1_A3B3	protein_ATP1A3;protein_ATP1B3	pm	NaKt	ATP1A3;ATP1B3	1;1
cplx_HETERODIMER_ATP1_A4B1	protein_ATP1A4;protein_ATP1B1	pm	NaKt	ATP1A4;ATP1B1	1;1
cplx_HETERODIMER_ATP1_A4B2	protein_ATP1A4;protein_ATP1B2	pm	NaKt	ATP1A4;ATP1B2	1;1
cplx_HETERODIMER_ATP1_A4B3	protein_ATP1A4;protein_ATP1B3	pm	NaKt	ATP1A4;ATP1B3	1;1
cplx_MONOMER_ATP2B1	protein_ATP2B1	pm	CAATPS1	ATP2B1	1
cplx_MONOMER_ATP2B4	protein_ATP2B4	pm	CAATPS1	ATP2B4	1
cplx_COMPLEX_ATP6V0V1	protein_ATP6AP1;protein_ATP6AP2;protein_ATP6V0A1;protein_ATP6V0B;protein_ATP6V0C;protein_ATP6V0D1;protein_ATP6V0E1;protein_ATP6V1A;protein_ATP6V1B2;protein_ATP6V1C1;protein_ATP6V1D;protein_ATP6V1E1;protein_ATP6V1F;protein_ATP6V1G1;protein_ATP6V1H	pm	VATPASEte	ATP6AP1;ATP6AP2;ATP6V0A1;ATP6V0B;ATP6V0C;ATP6V0D1;ATP6V0E1;ATP6V1A;ATP6V1B2;ATP6V1C1;ATP6V1D;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1H	1;1;1;1;9;1;1;3;3;1;1;3;1;3;1
cplx_MONOMER_ATP7A	protein_ATP7A	pm	CU1ABCte	ATP7A	1
cplx_MONOMER_ATP7B	protein_ATP7B	pm	CU1ABCte	ATP7B	1
cplx_MONOMER_B3GALNT1	protein_B3GALNT1	c	B3GALNT1c	B3GALNT1	1		ASSUMED MONOMER
cplx_HOMOTETRAMER_BHMT	protein_BHMT	c	BHMT	BHMT	4
cplx_MONOMER_BLVRA	protein_BLVRA	c	BILIREDy;BILIREDx	BLVRA	1
cplx_MONOMER_BLVRB	protein_BLVRB	c	BILIREDy;BILIREDx;FADRy;FLVRy;FMNRy;PROTCSNOCOANT	BLVRB	1
