	metabolites	metatlas	bigg.metabolite	vmhmetabolite
467	FAcoa_hs_20_8Z11Z14Z17Z3O_c	MAM00811c	CE4811	CE4811
468	FAcoa_hs_20_8Z11Z14Z17Z_c	MAM00125c	eicostetcoa	eicostetcoa
469	FAcoa_hs_20_8Z11Z14Z3OH__R_c	MAM00710c	CE4791	CE4791
470	FAcoa_hs_20_8Z11Z14Z3O_c	MAM00859c	CE4793	CE4793
471	FAcoa_hs_20_8Z11Z14Z_c	MAM01697c	dlnlcgcoa	dlnlcgcoa
472	FAcoa_hs_20_8Z11Z3OH__R_c	MAM00704c	M00704	M00704
473	FAcoa_hs_20_8Z11Z3O_c	MAM00871c	M00871	M00871
474	FAcoa_hs_20_8Z11Z_c	MAM00123c	M00123	M00123
475	FAcoa_hs_20_9Z3OH__R_c	MAM00707c	M00707	M00707
476	FAcoa_hs_20_9Z3O_c	MAM00852c	M00852	M00852
477	FAcoa_hs_20_9Z_c	MAM01236c	M01236	M01236
478	FAcoa_hs_21_0_c	MAM02052c	M02052	M02052
