	reactions	metatlas	bigg.reaction	vmhreaction
505	FACOA2ERy_24_2E15Z	MAR02330	RE3236C	RE3236C
506	FACOA2ERy_26_2E17Z	MAR02338	HMR_2338	HMR_2338
507	FACOA3ORy_20_11Z3O	MAR02307	RE3227C	RE3227C
508	FACOA3ORy_20_13Z3O	MAR02343	HMR_2343	HMR_2343
509	FACOA3ORy_20_8Z11Z3O	MAR02362	HMR_2362	HMR_2362
510	FACOA3ORy_20_9Z3O	MAR02348	HMR_2348	HMR_2348
511	FACOA3ORy_22_11Z3O	MAR02354	HMR_2354	HMR_2354
512	FACOA3ORy_22_13Z3O	MAR02317	RE3230C	RE3230C
513	FACOA3ORy_24_15Z3O	MAR02326	RE3234C	RE3234C
514	FACOA3ORy_26_17Z3O	MAR02334	HMR_2334	HMR_2334
