enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_CTPS1_rev_pc	enzyme_CTPS1_rev	cplx_HOMOTETRAMER_CTPS1_pc;cplx_HOMOTETRAMER_CTPS2_pc	CTPS1	reverse	pc	cplx_HOMOTETRAMER_CTPS1_pc(0);cplx_HOMOTETRAMER_CTPS2_pc(0)	0;0	234000.0
enzyme_CTPS2_fwd_pc	enzyme_CTPS2_fwd	cplx_HOMOTETRAMER_CTPS1_pc;cplx_HOMOTETRAMER_CTPS2_pc	CTPS2	forward	pc	cplx_HOMOTETRAMER_CTPS1_pc(440710.41382782103);cplx_HOMOTETRAMER_CTPS2_pc(435710.5360186372)	440710.41382782103;435710.5360186372	234000.0
enzyme_CTPS2_rev_pc	enzyme_CTPS2_rev	cplx_HOMOTETRAMER_CTPS1_pc;cplx_HOMOTETRAMER_CTPS2_pc	CTPS2	reverse	pc	cplx_HOMOTETRAMER_CTPS1_pc(0);cplx_HOMOTETRAMER_CTPS2_pc(0)	0;0	234000.0
enzyme_GLUN_fwd_pc	enzyme_GLUN_fwd	cplx_HOMOTETRAMER_CTPS1_pc;cplx_HOMOTETRAMER_CTPS2_pc;cplx_HOMODIMER_GMPS_pc	GLUN	forward	pc	cplx_HOMOTETRAMER_CTPS1_pc(440710.41382782103);cplx_HOMOTETRAMER_CTPS2_pc(435710.5360186372);cplx_HOMODIMER_GMPS_pc(291087.3218546248)	440710.41382782103;435710.5360186372;291087.3218546248	234000.0
enzyme_GLUN_rev_pc	enzyme_GLUN_rev	cplx_HOMOTETRAMER_CTPS1_pc;cplx_HOMOTETRAMER_CTPS2_pc;cplx_HOMODIMER_GMPS_pc	GLUN	reverse	pc	cplx_HOMOTETRAMER_CTPS1_pc(0);cplx_HOMOTETRAMER_CTPS2_pc(0);cplx_HOMODIMER_GMPS_pc(0)	0;0;0	234000.0
enzyme_NDPC_fwd_pc	enzyme_NDPC_fwd	cplx_HOMOTETRAMER_DCTPP1_pc	NDPC	forward	pc	cplx_HOMOTETRAMER_DCTPP1_pc(169646.34457667032)	169646.34457667032	234000.0
enzyme_NDPC_rev_pc	enzyme_NDPC_rev	cplx_HOMOTETRAMER_DCTPP1_pc	NDPC	reverse	pc	cplx_HOMOTETRAMER_DCTPP1_pc(0)	0	234000.0
enzyme_NTPPDC_fwd_pc	enzyme_NTPPDC_fwd	cplx_HOMOTETRAMER_DCTPP1_pc	NTPPDC	forward	pc	cplx_HOMOTETRAMER_DCTPP1_pc(169646.34457667032)	169646.34457667032	234000.0
enzyme_NTPPDC_rev_pc	enzyme_NTPPDC_rev	cplx_HOMOTETRAMER_DCTPP1_pc	NTPPDC	reverse	pc	cplx_HOMOTETRAMER_DCTPP1_pc(0)	0	234000.0
enzyme_XYLUR_Ly_fwd_pc	enzyme_XYLUR_Ly_fwd	cplx_HOMOTETRAMER_DCXR_pc	XYLUR_Ly	forward	pc	cplx_HOMOTETRAMER_DCXR_pc(216930.05449774966)	216930.05449774966	234000.0
enzyme_XYLUR_Ly_rev_pc	enzyme_XYLUR_Ly_rev	cplx_HOMOTETRAMER_DCXR_pc	XYLUR_Ly	reverse	pc	cplx_HOMOTETRAMER_DCXR_pc(216930.05449774966)	216930.05449774966	234000.0
enzyme_FUM_fwd_pc	enzyme_FUM_fwd	cplx_HOMOTETRAMER_FH_pc	FUM	forward	pc	cplx_HOMOTETRAMER_FH_pc(356253.69634747185)	356253.69634747185	234000.0
enzyme_FUM_rev_pc	enzyme_FUM_rev	cplx_HOMOTETRAMER_FH_pc	FUM	reverse	pc	cplx_HOMOTETRAMER_FH_pc(356253.69634747185)	356253.69634747185	234000.0
enzyme_G6PDH2_fwd_pc	enzyme_G6PDH2_fwd	cplx_HOMOTETRAMER_G6PD_pc	G6PDH2	forward	pc	cplx_HOMOTETRAMER_G6PD_pc(403354.0367676237)	403354.0367676237	234000.0
enzyme_G6PDH2_rev_pc	enzyme_G6PDH2_rev	cplx_HOMOTETRAMER_G6PD_pc	G6PDH2	reverse	pc	cplx_HOMOTETRAMER_G6PD_pc(0)	0	234000.0
enzyme_NADHHR_fwd_pc	enzyme_NADHHR_fwd	cplx_HOMOTETRAMER_GAPDH_pc	NADHHR	forward	pc	cplx_HOMOTETRAMER_GAPDH_pc(277901.34800456144)	277901.34800456144	234000.0
enzyme_NADHHR_rev_pc	enzyme_NADHHR_rev	cplx_HOMOTETRAMER_GAPDH_pc	NADHHR	reverse	pc	cplx_HOMOTETRAMER_GAPDH_pc(0)	0	234000.0
enzyme_NADHHS_fwd_pc	enzyme_NADHHS_fwd	cplx_HOMOTETRAMER_GAPDH_pc	NADHHS	forward	pc	cplx_HOMOTETRAMER_GAPDH_pc(277901.34800456144)	277901.34800456144	234000.0
enzyme_NADHHS_rev_pc	enzyme_NADHHS_rev	cplx_HOMOTETRAMER_GAPDH_pc	NADHHS	reverse	pc	cplx_HOMOTETRAMER_GAPDH_pc(0)	0	234000.0
enzyme_GAPD_fwd_pc	enzyme_GAPD_fwd	cplx_HOMOTETRAMER_GAPDH_pc;cplx_HOMOTETRAMER_GAPDHS_pc	GAPD	forward	pc	cplx_HOMOTETRAMER_GAPDH_pc(277901.34800456144);cplx_HOMOTETRAMER_GAPDHS_pc(325428.6846405492)	277901.34800456144;325428.6846405492	234000.0
enzyme_GAPD_rev_pc	enzyme_GAPD_rev	cplx_HOMOTETRAMER_GAPDH_pc;cplx_HOMOTETRAMER_GAPDHS_pc	GAPD	reverse	pc	cplx_HOMOTETRAMER_GAPDH_pc(277901.34800456144);cplx_HOMOTETRAMER_GAPDHS_pc(325428.6846405492)	277901.34800456144;325428.6846405492	234000.0
enzyme_GMPR_fwd_pc	enzyme_GMPR_fwd	cplx_HOMOTETRAMER_GMPR_pc;cplx_HOMOTETRAMER_GMPR2_pc	GMPR	forward	pc	cplx_HOMOTETRAMER_GMPR_pc(285729.9521639311);cplx_HOMOTETRAMER_GMPR2_pc(288340.8504280786)	285729.9521639311;288340.8504280786	234000.0
enzyme_GMPR_rev_pc	enzyme_GMPR_rev	cplx_HOMOTETRAMER_GMPR_pc;cplx_HOMOTETRAMER_GMPR2_pc	GMPR	reverse	pc	cplx_HOMOTETRAMER_GMPR_pc(0);cplx_HOMOTETRAMER_GMPR2_pc(0)	0;0	234000.0
enzyme_SELDIGTHOXy_fwd_pc	enzyme_SELDIGTHOXy_fwd	cplx_HOMOTETRAMER_GPX1_pc	SELDIGTHOXy	forward	pc	cplx_HOMOTETRAMER_GPX1_pc(192117.95243684988)	192117.95243684988	234000.0
enzyme_SELDIGTHOXy_rev_pc	enzyme_SELDIGTHOXy_rev	cplx_HOMOTETRAMER_GPX1_pc	SELDIGTHOXy	reverse	pc	cplx_HOMOTETRAMER_GPX1_pc(0)	0	234000.0
enzyme_SELGTHGTHR_fwd_pc	enzyme_SELGTHGTHR_fwd	cplx_HOMOTETRAMER_GPX1_pc	SELGTHGTHR	forward	pc	cplx_HOMOTETRAMER_GPX1_pc(192117.95243684988)	192117.95243684988	234000.0
enzyme_SELGTHGTHR_rev_pc	enzyme_SELGTHGTHR_rev	cplx_HOMOTETRAMER_GPX1_pc	SELGTHGTHR	reverse	pc	cplx_HOMOTETRAMER_GPX1_pc(0)	0	234000.0
enzyme_GTHP_fwd_pc	enzyme_GTHP_fwd	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc	GTHP	forward	pc	cplx_HOMOTETRAMER_GPX1_pc(192117.95243684988);cplx_MONOMER_GPX4_pc(61917.12793406002)	192117.95243684988;61917.12793406002	234000.0
enzyme_GTHP_rev_pc	enzyme_GTHP_rev	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc	GTHP	reverse	pc	cplx_HOMOTETRAMER_GPX1_pc(0);cplx_MONOMER_GPX4_pc(0)	0;0	234000.0
enzyme_HPDHA10GTHR_fwd_pc	enzyme_HPDHA10GTHR_fwd	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc;cplx_HOMODIMER_PRDX6_pc	HPDHA10GTHR	forward	pc	cplx_HOMOTETRAMER_GPX1_pc(192117.95243684988);cplx_MONOMER_GPX4_pc(61917.12793406002);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	192117.95243684988;61917.12793406002;125680.15585547239	234000.0
enzyme_HPDHA10GTHR_rev_pc	enzyme_HPDHA10GTHR_rev	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc;cplx_HOMODIMER_PRDX6_pc	HPDHA10GTHR	reverse	pc	cplx_HOMOTETRAMER_GPX1_pc(0);cplx_MONOMER_GPX4_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0;0	234000.0
enzyme_HPDHA11GTHR_fwd_pc	enzyme_HPDHA11GTHR_fwd	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc;cplx_HOMODIMER_PRDX6_pc	HPDHA11GTHR	forward	pc	cplx_HOMOTETRAMER_GPX1_pc(192117.95243684988);cplx_MONOMER_GPX4_pc(61917.12793406002);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	192117.95243684988;61917.12793406002;125680.15585547239	234000.0
enzyme_HPDHA11GTHR_rev_pc	enzyme_HPDHA11GTHR_rev	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc;cplx_HOMODIMER_PRDX6_pc	HPDHA11GTHR	reverse	pc	cplx_HOMOTETRAMER_GPX1_pc(0);cplx_MONOMER_GPX4_pc(0);cplx_HOMODIMER_PRDX6_pc(0)	0;0;0	234000.0
enzyme_HPDHA13GTHR_fwd_pc	enzyme_HPDHA13GTHR_fwd	cplx_HOMOTETRAMER_GPX1_pc;cplx_MONOMER_GPX4_pc;cplx_HOMODIMER_PRDX6_pc	HPDHA13GTHR	forward	pc	cplx_HOMOTETRAMER_GPX1_pc(192117.95243684988);cplx_MONOMER_GPX4_pc(61917.12793406002);cplx_HOMODIMER_PRDX6_pc(125680.15585547239)	192117.95243684988;61917.12793406002;125680.15585547239	234000.0
