enzyme	enzyme_keff	reactions	direction
enzyme_GLYPHEex_fwd	234000.0	GLYPHEex	gly_c + phe__L_e --> gly_e + phe__L_c
enzyme_GLYPHEex_rev	234000.0	GLYPHEex	gly_c + phe__L_e <-- gly_e + phe__L_c
enzyme_GLYPROex_fwd	234000.0	GLYPROex	gly_c + pro__L_e --> gly_e + pro__L_c
enzyme_GLYPROex_rev	234000.0	GLYPROex	gly_c + pro__L_e <-- gly_e + pro__L_c
enzyme_GLYSERex_fwd	234000.0	GLYSERex	gly_c + ser__L_e --> gly_e + ser__L_c
enzyme_GLYSERex_rev	234000.0	GLYSERex	gly_c + ser__L_e <-- gly_e + ser__L_c
enzyme_GLYTHRex_fwd	234000.0	GLYTHRex	gly_c + thr__L_e --> gly_e + thr__L_c
enzyme_GLYTHRex_rev	234000.0	GLYTHRex	gly_c + thr__L_e <-- gly_e + thr__L_c
enzyme_GLYTRPex_fwd	234000.0	GLYTRPex	gly_c + trp__L_e --> gly_e + trp__L_c
enzyme_GLYTRPex_rev	234000.0	GLYTRPex	gly_c + trp__L_e <-- gly_e + trp__L_c
enzyme_GLYTYRex_fwd	234000.0	GLYTYRex	gly_c + tyr__L_e --> gly_e + tyr__L_c
enzyme_GLYTYRex_rev	234000.0	GLYTYRex	gly_c + tyr__L_e <-- gly_e + tyr__L_c
enzyme_GLYVALex_fwd	234000.0	GLYVALex	gly_c + val__L_e --> gly_e + val__L_c
enzyme_GLYVALex_rev	234000.0	GLYVALex	gly_c + val__L_e <-- gly_e + val__L_c
enzyme_GLY_Cl_2Nat_fwd	234000.0	GLY_Cl_2Nat	cl_e + gly_e + 2.0 na1_e --> cl_c + gly_c + 2.0 na1_c
enzyme_GLY_Cl_2Nat_rev	234000.0	GLY_Cl_2Nat	cl_e + gly_e + 2.0 na1_e <-- cl_c + gly_c + 2.0 na1_c
enzyme_GLY_Cltex_fwd	234000.0	GLY_Cltex	cl_c + gly_e --> cl_e + gly_c
enzyme_GLY_Cltex_rev	234000.0	GLY_Cltex	cl_c + gly_e <-- cl_e + gly_c
enzyme_GLYtec_fwd	234000.0	GLYtec	gly_c --> gly_e
enzyme_GLYtec_rev	234000.0	GLYtec	gly_c <-- gly_e
enzyme_GMPR_fwd	234000.0	GMPR	gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
enzyme_GMPR_rev	234000.0	GMPR	gmp_c + 2.0 h_c + nadph_c <-- imp_c + nadp_c + nh4_c
enzyme_GMPS2_fwd	234000.0	GMPS2	atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c
enzyme_GMPS2_rev	234000.0	GMPS2	atp_c + gln__L_c + h2o_c + xmp_c <-- amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c
enzyme_GMPS_fwd	234000.0	GMPS	atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c
enzyme_GMPS_rev	234000.0	GMPS	atp_c + nh4_c + xmp_c <-- amp_c + gmp_c + 2.0 h_c + ppi_c
