enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_NRPPHRQ1ERx_L_fwd	cplx_COMPLEX_CYB5R3_B5B	159810.24610356652	pc	NRPPHRQ1ERx_L	h_c + nadh_c + 2.0 nrpphrqn__L_c --> nad_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRQ1ERx_L_fwd	cplx_MONOMER_CYB5R3	95932.97337488139	pc	NRPPHRQ1ERx_L	h_c + nadh_c + 2.0 nrpphrqn__L_c --> nad_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5A	0	pc	NRPPHRQ1ERx_L	h_c + nadh_c + 2.0 nrpphrqn__L_c <-- nad_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRQ1ERx_L_rev	cplx_COMPLEX_CYB5R3_B5B	0	pc	NRPPHRQ1ERx_L	h_c + nadh_c + 2.0 nrpphrqn__L_c <-- nad_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRQ1ERx_L_rev	cplx_MONOMER_CYB5R3	0	pc	NRPPHRQ1ERx_L	h_c + nadh_c + 2.0 nrpphrqn__L_c <-- nad_c + 2.0 nrpphrsqn__L_c
enzyme_NRPPHRQ2ERy_L_fwd	cplx_MONOMER_CBR1	87707.24022931617	pc	NRPPHRQ2ERy_L	h_c + nadph_c + nrpphrqn__L_c --> nadp_c + nrpphr__L_c
enzyme_NRPPHRQ2ERy_L_fwd	cplx_MONOMER_CBR3	88719.30620050283	pc	NRPPHRQ2ERy_L	h_c + nadph_c + nrpphrqn__L_c --> nadp_c + nrpphr__L_c
enzyme_NRPPHRQ2ERy_L_rev	cplx_MONOMER_CBR1	0	pc	NRPPHRQ2ERy_L	h_c + nadph_c + nrpphrqn__L_c <-- nadp_c + nrpphr__L_c
enzyme_NRPPHRQ2ERy_L_rev	cplx_MONOMER_CBR3	0	pc	NRPPHRQ2ERy_L	h_c + nadph_c + nrpphrqn__L_c <-- nadp_c + nrpphr__L_c
enzyme_NRPPHRQ2ERz_L_fwd	cplx_HOMODIMER_NQO2	130932.19587268801	pc	NRPPHRQ2ERz_L	h_c + nrpphrqn__L_c + rnamh_c --> nrpphr__L_c + rnam_c
enzyme_NRPPHRQ2ERz_L_rev	cplx_HOMODIMER_NQO2	0	pc	NRPPHRQ2ERz_L	h_c + nrpphrqn__L_c + rnamh_c <-- nrpphr__L_c + rnam_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTM1	130155.68408445724	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTM2	130280.32409636454	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTM3	133350.1586761585	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTM4	129572.49194990216	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTM5	130022.51919128819	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTO1	137137.34759411562	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
enzyme_NRPPHRQGST_L_fwd	cplx_HOMODIMER_GSTP1	121099.73485819153	pc	NRPPHRQGST_L	gthrd_c + nrpphrqn__L_c --> 5sgthnrpphr__L_c
