	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
163	CDK2	2.7.11.22	P24941	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	cyclin-dependent kinase	cdc2 kinase;cdk-activating kinase;Cdk-activating protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- Activation of cyclin-dependent kinases requires association of the;    enzyme with a regulatory subunit referred to as a cyclin;-!- It is the sequential activation and inactivation of cyclin-dependent;    kinases, through the periodic synthesis and destruction of cyclins,;    that provides the primary means of cell-cycle regulation;-!- Formerly EC 2.7.1.37
164	CDK4	2.7.11.22	P11802	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	cyclin-dependent kinase	cdc2 kinase;cdk-activating kinase;Cdk-activating protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- Activation of cyclin-dependent kinases requires association of the;    enzyme with a regulatory subunit referred to as a cyclin;-!- It is the sequential activation and inactivation of cyclin-dependent;    kinases, through the periodic synthesis and destruction of cyclins,;    that provides the primary means of cell-cycle regulation;-!- Formerly EC 2.7.1.37
165	CDK5	2.7.11.1	Q00535	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
166	CDK6	2.7.11.22	Q00534	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	cyclin-dependent kinase	cdc2 kinase;cdk-activating kinase;Cdk-activating protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- Activation of cyclin-dependent kinases requires association of the;    enzyme with a regulatory subunit referred to as a cyclin;-!- It is the sequential activation and inactivation of cyclin-dependent;    kinases, through the periodic synthesis and destruction of cyclins,;    that provides the primary means of cell-cycle regulation;-!- Formerly EC 2.7.1.37
167	CDS2	2.7.7.41	O95674	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.7.-	Nucleotidyltransferases	phosphatidate cytidylyltransferase	CDP-diacylglycerol synthase;CDP-diglyceride diphosphorylase;CDP-diglyceride pyrophosphorylase;CDP-diglyceride synthetase	a 1,2-diacyl-sn-glycero-3-phosphate + CTP + H(+) = a CDP-1,2-diacyl-;sn-glycerol + diphosphate	
168	CFTR	5.6.1.6	P13569	5.-.-.-	Isomerases	5.6.-.-	Isomerases altering macromolecular conformation	5.6.1.-	Enzymes altering polypeptide conformation or assembly	channel-conductance-controlling ATPase	CFTR;cystic-fibrosis membrane-conductance-regulating protein	ATP + H2O + closed Cl(-) channel = ADP + phosphate + open Cl(-) channel	-!- ABC-type (ATP-binding cassette-type) ATPase, characterized by the;    presence of two similar ATP-binding domains;-!- The enzyme is found in animals, and in humans its absence brings;    about cystic fibrosis;-!- Unlike most of the ABC transporters, chloride pumping is not directly;    coupled to ATP hydrolysis;-!- Instead, the passive flow of anions through the channel is gated by;    cycles of ATP binding and hydrolysis by the ATP-binding domains;-!- The enzyme is also involved in the functioning of other transmembrane;    channels;-!- Formerly EC 3.6.3.49
169	CHAC2	4.3.2.7	Q8WUX2	4.-.-.-	Lyases	4.3.-.-	Carbon-nitrogen lyases	4.3.2.-	Lyases acting on amides, amidines, etc	glutathione-specific gamma-glutamylcyclotransferase	gamma-glu-GCG	glutathione = 5-oxo-L-proline + L-cysteinylglycine	-!- The enzyme, found in bacteria, fungi and animals, is specific for;    glutathione (cf. EC 4.3.2.9);-!- The enzyme acts as a cyclotransferase, cleaving the amide bond via;    transamidation using the alpha-amine of the L-glutamyl residue,;    releasing it as the cyclic 5-oxo-L-proline
170	CKB	2.7.3.2	P12277	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.3.-	Phosphotransferases with a nitrogenous group as acceptor	creatine kinase		ATP + creatine = ADP + H(+) + N-phosphocreatine	-!- N-Ethylglycocyamine can also act as acceptor
171	CKM	2.7.3.2	P06732	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.3.-	Phosphotransferases with a nitrogenous group as acceptor	creatine kinase		ATP + creatine = ADP + H(+) + N-phosphocreatine	-!- N-Ethylglycocyamine can also act as acceptor
172	CMPK1	2.7.4.14	P30085	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	UMP/CMP kinase	CMP kinase;cytidine monophosphate kinase;cytidylate kinase;dCMP kinase;deoxycytidine kinase;deoxycytidylate kinase;UMP-CMP kinase;uridine monophosphate-cytidine monophosphate phosphotransferase	(1) ATP + CMP = ADP + CDP;(2) ATP + dCMP = ADP + dCDP;(3) ATP + UMP = ADP + UDP	-!- This eukaryotic enzyme is a bifunctional enzyme that catalyzes the;    phosphorylation of both CMP and UMP with similar efficiency;-!- dCMP can also act as acceptor;-!- Different from the monofunctional prokaryotic enzymes EC 2.7.4.25 and;    EC 2.7.4.22;-!- Formerly EC 2.7.4.5
173	CMPK1	2.7.4.6	P30085	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-diphosphate kinase	NDK;nucleoside 5'-diphosphate phosphotransferase;nucleoside diphosphokinase	(1) a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside;5'-triphosphate + ADP;(2) a 2'-deoxyribonucleoside 5'-diphosphate + ATP =;a 2'-deoxyribonucleoside 5'-triphosphate + ADP	-!- Many nucleoside diphosphates can act as acceptors;-!- Many ribo- and deoxyribonucleoside triphosphates can act as donors
174	CMPK2	2.7.4.14	Q5EBM0	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	UMP/CMP kinase	CMP kinase;cytidine monophosphate kinase;cytidylate kinase;dCMP kinase;deoxycytidine kinase;deoxycytidylate kinase;UMP-CMP kinase;uridine monophosphate-cytidine monophosphate phosphotransferase	(1) ATP + CMP = ADP + CDP;(2) ATP + dCMP = ADP + dCDP;(3) ATP + UMP = ADP + UDP	-!- This eukaryotic enzyme is a bifunctional enzyme that catalyzes the;    phosphorylation of both CMP and UMP with similar efficiency;-!- dCMP can also act as acceptor;-!- Different from the monofunctional prokaryotic enzymes EC 2.7.4.25 and;    EC 2.7.4.22;-!- Formerly EC 2.7.4.5
175	CMPK2	2.7.4.6	Q5EBM0	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.4.-	Phosphotransferases with a phosphate group as acceptor	nucleoside-diphosphate kinase	NDK;nucleoside 5'-diphosphate phosphotransferase;nucleoside diphosphokinase	(1) a ribonucleoside 5'-diphosphate + ATP = a ribonucleoside;5'-triphosphate + ADP;(2) a 2'-deoxyribonucleoside 5'-diphosphate + ATP =;a 2'-deoxyribonucleoside 5'-triphosphate + ADP	-!- Many nucleoside diphosphates can act as acceptors;-!- Many ribo- and deoxyribonucleoside triphosphates can act as donors
176	CNDP2	3.4.13.18	Q96KP4	3.-.-.-	Hydrolases	3.4.-.-	Acting on peptide bonds (peptidases)	3.4.13.-	Dipeptidases	cytosol non-specific dipeptidase	glycyl-glycine dipeptidase;glycyl-leucine dipeptidase;N(2)-beta-alanylarginine dipeptidase;peptidase A;prolinase;prolyl dipeptidase;prolylglycine dipeptidase;Pro-X dipeptidase	Hydrolysis of dipeptides, preferentially hydrophobic dipeptides including;prolyl amino acids	-!- Broad specificity, varying somewhat with source species;-!- Activated and stabilized by dithiothreitol and manganese;-!- Inhibited by bestatin and leucine;-!- Belongs to peptidase family M20;-!- Formerly EC 3.4.3.1, EC 3.4.3.2, EC 3.4.3.3, EC 3.4.3.6, EC 3.4.13.1,;    EC 3.4.13.2, EC 3.4.13.3, EC 3.4.13.8, EC 3.4.13.11, EC 3.4.13.13 and;    EC 3.4.13.15
177	CNP	3.1.4.37	P09543	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.4.-	Phosphoric diester hydrolases	2',3'-cyclic-nucleotide 3'-phosphodiesterase	cyclic-CMP phosphodiesterase	a nucleoside 2',3'-cyclic phosphate + H2O = a nucleoside 2'-phosphate +;H(+)	-!- The brain enzyme acts on 2',3'-cyclic AMP more rapidly than on the;    UMP or CMP derivatives;-!- An enzyme from liver acts on 2',3'-cyclic CMP more rapidly than on;    the purine derivatives; it also hydrolyzes the corresponding;    3',5'-cyclic phosphates, more slowly;-!- This latter enzyme has been called cyclic-CMP phosphodiesterase
178	COASY	2.7.1.24	Q13057	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.1.-	Phosphotransferases with an alcohol group as acceptor	dephospho-CoA kinase	dephosphocoenzyme A kinase	3'-dephospho-CoA + ATP = ADP + CoA + H(+)	
179	COASY	2.7.7.3	Q13057	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.7.-	Nucleotidyltransferases	pantetheine-phosphate adenylyltransferase	3'-dephospho-CoA pyrophosphorylase;dephospho-CoA diphosphorylase;dephospho-CoA pyrophosphorylase;dephospho-coenzyme A pyrophosphorylase;phosphopantetheine adenylyltransferase;PPAT	(R)-4'-phosphopantetheine + ATP + H(+) = 3'-dephospho-CoA + diphosphate	-!- The enzyme from several bacteria (e.g. Escherichia coli, Bacillus;    subtilis and Haemophilus influenzae) has been shown to be;    bifunctional and also to possess the activity of EC 2.3.1.157
180	COMT	2.1.1.6	P21964	2.-.-.-	Transferases	2.1.-.-	Transferring one-carbon groups	2.1.1.-	Methyltransferases	catechol O-methyltransferase		a catechol + S-adenosyl-L-methionine = a guaiacol + H(+) + S-adenosyl-L-;homocysteine	-!- The mammalian enzymes act more rapidly on catecholamines such as;    adrenaline or noradrenaline than on catechols
181	CPPED1	3.1.3.16	Q9BRF8	3.-.-.-	Hydrolases	3.1.-.-	Acting on ester bonds	3.1.3.-	Phosphoric monoester hydrolases	protein-serine/threonine phosphatase	protein phosphatase-1;protein phosphatase-2A;protein phosphatase-2B;protein phosphatase-2C;serine/threonine specific protein phosphatase	(1) H2O + O-phospho-L-seryl-[protein] = L-seryl-[protein] + phosphate;(2) H2O + O-phospho-L-threonyl-[protein] = L-threonyl-[protein] +;phosphate	-!- A group of enzymes removing the serine- or threonine-bound phosphate;    group from a wide range of phosphoproteins, including a number of;    enzymes which have been phosphorylated under the action of a kinase;    (cf. EC 3.1.3.48);-!- The spleen enzyme also acts on phenolic phosphates and phosphamides;    (cf. EC 3.9.1.1)
182	CPT1A	2.3.1.21	P50416	2.-.-.-	Transferases	2.3.-.-	Acyltransferases	2.3.1.-	Transferring groups other than amino-acyl groups	carnitine O-palmitoyltransferase		(R)-carnitine + hexadecanoyl-CoA = CoA + O-hexadecanoyl-(R)-carnitine	-!- Broad specificity to acyl group, over the range C8 to C18; optimal;    activity with palmitoyl-CoA (cf. EC 2.3.1.7 and EC 2.3.1.137)
183	CSNK1A1	2.7.11.1	P48729	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
184	CSNK1G1	2.7.11.1	Q9HCP0	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
185	CSNK1G2	2.7.11.1	P78368	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
186	CSNK1G3	2.7.11.1	Q9Y6M4	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
187	CSNK2A1	2.7.11.1	P68400	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
188	CSNK2A2	2.7.11.1	P19784	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.11.-	Protein-serine/threonine kinases	non-specific serine/threonine protein kinase	protein phosphokinase;protein serine kinase;protein-serine kinase;protein serine-threonine kinase;serine/threonine protein kinase;serine(threonine) protein kinase;serine kinase;serine protein kinase;serine-specific protein kinase;threonine-specific protein kinase	(1) ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein];(2) ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-;[protein]	-!- This is a heterogeneous group of serine/threonine protein kinases;    that do not have an activating compound and are either non-specific;    or their specificity has not been analyzed to date;-!- Formerly EC 2.7.1.37 and EC 2.7.1.70
189	CTH	4.4.1.1	P32929	4.-.-.-	Lyases	4.4.-.-	Carbon-sulfur lyases	4.4.1.-	Carbon-sulfur lyases	cystathionine gamma-lyase	cystathionase;cystathioninase;cysteine desulfhydrase;cystine desulfhydrase;gamma-cystathionase;homoserine deaminase;homoserine dehydratase	H2O + L,L-cystathionine = 2-oxobutanoate + L-cysteine + NH4(+)	-!- The enzyme cleaves a carbon-sulfur bond, releasing L-cysteine and an;    unstable enamine product that tautomerizes to an imine form, which;    undergoes a hydrolytic deamination to form 2-oxobutanoate and;    ammonia;-!- The latter reaction, which can occur spontaneously, can also be;    catalyzed by EC 3.5.99.10;-!- Also catalyzes the conversion of L-homoserine to 2-oxobutanoate and;    ammonia, of L-cystine to thiocysteine, pyruvate and ammonia, and of;    L-cysteine to pyruvate, hydrogen sulfide and ammonia;-!- Formerly EC 4.2.1.15
190	CTH	4.4.1.2	P32929	4.-.-.-	Lyases	4.4.-.-	Carbon-sulfur lyases	4.4.1.-	Carbon-sulfur lyases	homocysteine desulfhydrase	homocysteine desulfurase	H2O + L-homocysteine = 2-oxobutanoate + H(+) + hydrogen sulfide + NH4(+)	-!- The enzyme cleaves a carbon-sulfur bond, releasing hydrogen sulfide;    and an unstable enamine product that tautomerizes to an imine form,;    which undergoes a hydrolytic deamination to form 2-oxobutanoate and;    ammonia;-!- The latter reaction, which can occur spontaneously, can also be;    catalyzed by EC 3.5.99.10
