enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADRNCHR2ERy_rev	cplx_MONOMER_CBR1	0	pc	ADRNCHR2ERy	adrnchrm_c + h_c + nadph_c <-- leuadrnchrm_c + nadp_c
enzyme_ADRNCHR2ERy_rev	cplx_MONOMER_CBR3	0	pc	ADRNCHR2ERy	adrnchrm_c + h_c + nadph_c <-- leuadrnchrm_c + nadp_c
enzyme_ADRNCHR2ERz_fwd	cplx_HOMODIMER_NQO2	130945.97503148265	pc	ADRNCHR2ERz	adrnchrm_c + h_c + rnamh_c --> leuadrnchrm_c + rnam_c
enzyme_ADRNCHR2ERz_rev	cplx_HOMODIMER_NQO2	0	pc	ADRNCHR2ERz	adrnchrm_c + h_c + rnamh_c <-- leuadrnchrm_c + rnam_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTM1	130169.38152401421	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTM2	130294.03465289784	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTM3	133364.1922986716	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTM4	129586.12801496696	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTM5	130036.20261671975	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTO1	137151.7797761819	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTP1	121112.4792597154	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMODIMER_GSTT1	136293.14678239185	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_HOMOTRIMER_MGST2	127246.43194235222	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_fwd	cplx_MONOMER_LANCL1	118339.28961154442	pc	ADRNCHRGST	adrnchrm_c + gthrd_c --> 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTM1	130169.38152401421	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTM2	130294.03465289784	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTM3	133364.1922986716	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTM4	129586.12801496696	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTM5	130036.20261671975	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTO1	137151.7797761819	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTP1	121112.4792597154	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMODIMER_GSTT1	136293.14678239185	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_HOMOTRIMER_MGST2	127246.43194235222	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNCHRGST_rev	cplx_MONOMER_LANCL1	118339.28961154442	pc	ADRNCHRGST	adrnchrm_c + gthrd_c <-- 5sgthleuadrnchrm_c
enzyme_ADRNLGTHABCte_fwd	cplx_MONOMER_ABCC1	321385.06593731063	pc	ADRNLGTHABCte	5sgthadrnl__L_c + atp_c + h2o_c --> 5sgthadrnl__L_e + adp_c + h_c + pi_c
enzyme_ADRNLGTHABCte_fwd	cplx_MONOMER_ABCC4	289878.88732442656	pc	ADRNLGTHABCte	5sgthadrnl__L_c + atp_c + h2o_c --> 5sgthadrnl__L_e + adp_c + h_c + pi_c
