reactions	references
CRNAT_24_6Z9Z12Z15Z18Z	pubmed:35710135
CRNAT_24_6Z9Z12Z15Z18Z21Z	pubmed:35710135
CRNAT_24_9Z12Z15Z18Z	pubmed:35710135
CRNAT_24_9Z12Z15Z18Z21Z	pubmed:35710135
CRNAT_26_0	pubmed:35710135
CRNAT_26_17Z	pubmed:35710135
CRNAT_2_0	pubmed:35710135
CRNAT_3_0	doi:10.3390/separations8090142;pubmed:35710135
CRNAT_4_0	doi:10.3390/separations8090142;pubmed:35710135
CRNAT_5_0	doi:10.3390/separations8090142;pubmed:35710135
CRNAT_6_0	doi:10.3390/separations8090142;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_7_0	doi:10.3390/separations8090142;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_8_0	doi:10.3390/separations8090142;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_9_0	doi:10.3390/separations8090142;pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CHLSTD78I
CHLSTI1
DMATT
DPMVD
GRTT
LNSTLS
XOLEST2EH	pubmed:236766
2ABUTGLYDP	pubmed:20498365;pubmed:3593246
2HBO	pubmed:24636780;pubmed:27813142
3SALACBOXL	pubmed:27646145
3SALAOX	pubmed:27646145
3SALATA	pubmed:27646145
3SPYRSP	pubmed:27646145
ADMDC	pubmed:2043160;pubmed:33730845
AHC	pubmed:1623596;pubmed:24636780;pubmed:27491795;pubmed:7240192
ARDFE2
ARDNI2
CYSGLTH	pubmed:25688092;pubmed:27646145;pubmed:29409925;pubmed:3415679;pubmed:34559024
CYSIL2
CYSL2	pubmed:27646145
CYSLNET	pubmed:27646145
CYSO	pubmed:25688092;pubmed:27646145;pubmed:29409925;pubmed:34559024
CYSTA	pubmed:25688092;pubmed:29409925;pubmed:3346220;pubmed:34559024
CYSTL1	pubmed:24636780;pubmed:27646145
CYSTRDX	pubmed:24636780;pubmed:27646145;pubmed:3415679
CYSTS	pubmed:24636780;pubmed:27646145;pubmed:29079593
DHLIPTRD	pubmed:17673195;pubmed:21732914
ENOPH	pubmed:27491795
GGLUCT2ABUT	pubmed:24636780;pubmed:27646145
GLU2ABUTS	pubmed:24636780;pubmed:27646145
GTHS2	pubmed:24636780;pubmed:27646145
HCYSTRDX	pubmed:36671064
HSERL1
HYPTROX	pubmed:27646145
LCYSTAT	pubmed:3346220
LHCYSTIN	pubmed:36671064
MCLOR	pubmed:25688092;pubmed:27646145;pubmed:29409925;pubmed:34559024;pubmed:6945862
MCPST3	pubmed:17673195;pubmed:21732914;pubmed:25688092;pubmed:29409925;pubmed:34559024;pubmed:6938201
MCPST4	pubmed:17673195;pubmed:21732914;pubmed:25688092;pubmed:29409925;pubmed:34559024;pubmed:6938201
MDRPD	pubmed:27491795
METAT	pubmed:1623596;pubmed:27491795;pubmed:6871179;pubmed:7240192
MTAP	pubmed:27491795;pubmed:3474231;pubmed:6406103;pubmed:6838867
MTRI	pubmed:27491795
OPHGLXTA	pubmed:27405778;pubmed:28373563;pubmed:35209187;pubmed:35834009;pubmed:6049869
OPHOXATA	pubmed:27405778;pubmed:28373563;pubmed:35209187;pubmed:35834009
SLDx	pubmed:3346220
UNK3	pubmed:27491795
CRVNC1011MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
CRVNC1314MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
CRVNC1617MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
CRVNC1920MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
CRVNC78MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
CRVNCDRO2P	pubmed:18243141;pubmed:9164668
CRVNCOHRI	pubmed:18243141;pubmed:9164668
CRVNCROO10AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
CRVNCROO10AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
